date,box,positive,negative,pred,anger,anticipation,disgust,fear,joy,negatives,positives,sadness,surprise,trust
5-May-17,56078520,80.25,19.75,0,2.513465,12.9263914,2.1543986,3.5906643,11.1310592,8.0789946,27.8276481,3.4111311,14.9012567,13.464991
6-May-17,51304539,87.45,12.55,30833354.03,1.8082192,16.6027397,1.4794521,2.5753425,14.1917808,4.9315068,27.3424658,1.7534247,14.8493151,14.4657534
7-May-17,39127045,25.44,74.56,46959661.36,1.6640254,3.3280507,0.5546751,34.7860539,3.3280507,35.8954041,10.459588,1.6640254,5.5467512,2.7733756
8-May-17,9862655,56.8,43.2,11318370.42,0.4291845,8.9413448,1.8597997,18.3118741,10.8011445,20.7439199,22.8898426,1.8597997,3.2188841,10.944206
9-May-17,12097479,58.67,41.33,6174209.656,5.1391863,11.3490364,3.8543897,9.4218415,8.137045,15.2034261,22.9122056,7.7087794,8.137045,8.137045
10-May-17,7527728,68.7,31.3,6258507.556,7.3647871,8.1703107,1.8411968,7.8250863,12.7733026,11.2773303,30.264672,2.9919448,9.3210587,8.1703107
11-May-17,7159453,60.7,39.3,5415600.842,3.5019455,8.8521401,2.2373541,13.7159533,10.4085603,16.92607,24.0272374,2.9182879,8.6575875,8.7548638
12-May-17,16490524,74.88,25.12,13973988.91,2.9181495,11.6725979,1.7793594,7.6156584,8.0427046,9.9644128,27.7580071,2.8469751,14.7330961,12.6690391
13-May-17,27879884,72.98,27.02,20281759.42,3.6805012,9.6319499,3.1323414,6.7345341,11.5896633,10.4150352,29.8355521,3.0540329,13.9389193,7.9874706
14-May-17,20893084,77.31,22.69,24615693.66,4.5207957,8.0470163,2.4412297,4.3399638,15.8227848,7.323689,30.8318264,4.0687161,11.3924051,11.2115732
15-May-17,4701588,69.12,30.88,7890079.293,7.115629,9.656925,2.5412961,5.7179161,10.8005083,9.7839898,26.0482846,5.7179161,11.5628971,11.0546379
16-May-17,5946795,82.7,17.3,3759326.432,2.9522829,9.9897013,3.0552695,3.3642293,15.0360453,4.771713,34.3288706,3.1582561,11.3628562,11.9807758
17-May-17,3971856,75.51,24.49,4386019.628,2.5303644,10.3238866,2.0242915,6.4777328,12.3481781,8.805668,28.5425101,4.6558704,13.1578947,11.1336032
18-May-17,3696324,78.24,21.76,3613660.492,4.361874,15.9396877,2.8002154,4.5234249,11.0393107,6.7851373,30.1023156,3.2848681,10.177706,10.9854604
19-May-17,8717079,78.81,21.19,10216814.49,4.4982699,15.0519031,2.9411765,3.633218,8.4775087,6.9204152,32.8719723,3.200692,12.3702422,10.0346021
20-May-17,14951137,83.55,16.45,14262423.33,2.1892655,17.9378531,1.9774011,3.319209,12.2175141,5.6497175,32.6271186,3.319209,9.2514124,11.5112994
21-May-17,10985538,77.86,22.14,18755760.8,4.0423484,12.8970164,2.213667,4.0423484,11.6458133,7.3147257,31.9538017,4.5235804,9.7208855,11.6458133
22-May-17,3597323,81.74,18.26,5452211.972,2.6243849,14.8715145,1.913614,3.6085293,14.2154183,7.1623838,29.6336796,2.952433,9.9507928,13.0672499
23-May-17,3388947,79.35,20.65,3434881.849,3.4918724,9.1511138,1.384708,3.2510536,16.6767008,5.8398555,29.3196869,6.6827213,10.5358218,13.666466
24-May-17,2534650,78.09,21.91,3379297.836,3.1396126,9.6860387,2.004008,2.8056112,17.8356713,5.744823,30.6613226,8.2164329,9.3520374,10.5544422
25-May-17,2403779,87.5,12.5,2782128.948,2.5246305,12.9310345,1.3546798,2.4630542,13.0541872,4.0640394,34.1748768,2.0935961,11.8842365,15.455665
